               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091883,            0.032699,            0.027968,             0.57055,                 0.8,             0.65086,             0.34557,            0.029635,            0.022478,            0.011512,             0.00071,             0.00071,             0.09361
                   1,            0.053227,            0.025821,            0.015786,             0.75738,             0.83244,             0.76704,             0.36891,            0.022682,            0.015377,           0.0032773,           0.0014297,           0.0014297,             0.08713
                   2,            0.056967,            0.017606,           0.0053702,             0.84007,             0.88333,             0.90544,             0.32586,            0.025631,            0.011264,           0.0017841,           0.0021481,           0.0021481,            0.080648
                   3,            0.052455,            0.014819,           0.0035375,             0.64827,               0.983,             0.71564,             0.26999,            0.030316,           0.0085763,           0.0013101,           0.0028643,           0.0028643,            0.074164
                   4,            0.046861,            0.012395,           0.0029432,             0.93647,             0.98278,             0.97261,              0.4222,            0.024142,           0.0073009,          0.00079942,           0.0035773,           0.0035773,            0.067677
                   5,            0.044179,            0.011467,           0.0027881,             0.98294,                   1,             0.99451,             0.45191,             0.02303,           0.0062151,           0.0011678,           0.0042861,           0.0042861,            0.061186
                   6,            0.040245,            0.010459,            0.002445,             0.88757,             0.92107,             0.96189,             0.54115,            0.025262,           0.0059825,          0.00063028,           0.0049899,           0.0049899,             0.05469
                   7,            0.044268,            0.010137,           0.0027918,             0.96774,             0.99986,             0.98201,             0.76711,            0.014242,           0.0056465,            0.001057,           0.0056877,           0.0056877,            0.048188
                   8,            0.040117,           0.0094813,            0.002584,             0.87197,             0.91667,             0.94424,             0.67419,            0.023328,           0.0054492,          0.00096998,           0.0063785,           0.0063785,            0.041679
                   9,            0.038183,           0.0093076,           0.0022743,              0.9676,                   1,             0.98801,             0.77438,            0.013057,            0.004838,          0.00094402,           0.0070615,           0.0070615,            0.035162
                  10,            0.035976,           0.0084288,           0.0020587,             0.96774,             0.99991,             0.98759,             0.57913,            0.017508,           0.0049528,          0.00066301,           0.0077358,           0.0077358,            0.028636
                  11,            0.037109,           0.0086269,            0.001815,             0.98342,                   1,             0.99484,             0.68523,            0.018987,           0.0049352,          0.00079279,           0.0084004,           0.0084004,              0.0221
                  12,            0.036445,           0.0085839,           0.0020468,             0.96765,                   1,             0.98634,             0.88581,            0.014319,           0.0046567,          0.00084981,           0.0090545,           0.0090545,            0.015555
                  13,            0.033349,           0.0084227,           0.0017181,             0.99979,                   1,               0.995,             0.84995,            0.013495,            0.004368,          0.00064576,           0.0096299,           0.0096299,           0.0096299
                  14,            0.033844,           0.0079449,           0.0014865,             0.99999,                   1,               0.995,             0.79601,            0.011813,           0.0043431,          0.00048229,           0.0096299,           0.0096299,           0.0096299
                  15,             0.02963,           0.0078107,           0.0013376,             0.99997,                   1,               0.995,              0.8177,            0.011989,           0.0040342,          0.00040777,           0.0095717,           0.0095717,           0.0095717
